iter	Logloss
0	0.6880160858
1	0.6841970965
2	0.6800519492
3	0.6767703871
4	0.6722336794
5	0.6683938419
6	0.663870069
7	0.6592321031
8	0.6541343958
9	0.6480416098
10	0.6432162077
11	0.6394379894
12	0.6358945459
13	0.631453769
14	0.6272510105
15	0.6235754976
16	0.6197696939
17	0.6170672322
18	0.6131891327
19	0.608242467
20	0.6047648016
21	0.6008916891
22	0.5966362745
23	0.5923455275
24	0.5890924162
25	0.5857228992
26	0.5826672295
27	0.5790019706
28	0.574798501
29	0.5710676211
30	0.5677859549
31	0.5648407902
32	0.5610753459
33	0.5581081624
34	0.5541326929
35	0.5503757411
36	0.5466791752
37	0.5439976491
38	0.540359135
39	0.5373898601
40	0.5344191591
41	0.5314358196
42	0.5281994141
43	0.5255572197
44	0.5222300246
45	0.5189770562
46	0.5162551685
47	0.5138128729
48	0.5111875244
49	0.5086211527
50	0.5056972981
51	0.5030089877
52	0.5006652595
53	0.4976785848
54	0.4946803717
55	0.4919253857
56	0.4886916695
57	0.4863576618
58	0.4842575557
59	0.4809614555
60	0.4792947745
61	0.4765810732
62	0.4742130291
63	0.4714645394
64	0.4691234835
65	0.4668724402
66	0.4636355037
67	0.4609344234
68	0.4587587476
69	0.4564447526
70	0.4542556625
71	0.4524510301
72	0.4505836173
73	0.4484260268
74	0.4467463371
75	0.4439495813
76	0.4417487944
77	0.4398368025
78	0.4375981794
79	0.4360730876
80	0.433995856
81	0.43246679
82	0.4303723195
83	0.4284966377
84	0.4267768769
85	0.4249226845
86	0.4225081954
87	0.4202506506
88	0.4186584259
89	0.4166587228
90	0.4149509098
91	0.4133261844
92	0.4113369779
93	0.4094231999
94	0.4077276336
95	0.4057426195
96	0.4041420024
97	0.4025167255
98	0.4013339401
99	0.399506984
100	0.3975803129
101	0.396391031
102	0.3943521024
103	0.3926820345
104	0.3915370971
105	0.3894673773
106	0.3877498409
107	0.3861852346
108	0.3850666725
109	0.3835377631
110	0.381935138
111	0.3799695339
112	0.378517356
113	0.376951721
114	0.3755222378
115	0.3742564476
116	0.3724962897
117	0.3710403436
118	0.369707849
119	0.3683047605
120	0.3672327409
121	0.3660836545
122	0.3653881267
123	0.3639572042
124	0.3620466814
125	0.3605653096
126	0.3588739416
127	0.3577163134
128	0.3563694044
129	0.3549643016
130	0.3538191932
131	0.3521541234
132	0.3509281857
133	0.3495217079
134	0.3485129554
135	0.3473131072
136	0.3458063772
137	0.3444708909
138	0.3430880952
139	0.3419387048
140	0.3400857716
141	0.338950327
142	0.337465641
143	0.3364183466
144	0.3349871654
145	0.3336943586
146	0.3326344657
147	0.3312330614
148	0.3298205525
149	0.3291535919
150	0.3280220232
151	0.3266132802
152	0.3253748525
153	0.3241634096
154	0.3233670333
155	0.3225580938
156	0.3215226573
157	0.3201029902
158	0.3193216307
159	0.3179883598
160	0.3167914038
161	0.3154650889
162	0.3142138419
163	0.313483477
164	0.3125845938
165	0.3118455017
166	0.3108813999
167	0.3096965514
168	0.3086917649
169	0.3076143379
170	0.3064380189
171	0.3060771721
172	0.3053511216
173	0.3039344602
174	0.302922403
175	0.3023020978
176	0.3013780787
177	0.3000647474
178	0.2988788931
179	0.2984208866
180	0.297405141
181	0.2961441523
182	0.2952258015
183	0.2943563292
184	0.2936026794
185	0.2924680097
186	0.2916154837
187	0.2908177759
188	0.2897023805
189	0.2887503465
190	0.2881168977
191	0.2870171233
192	0.2861137284
193	0.2854153157
194	0.2847352785
195	0.283584057
196	0.2827778788
197	0.2820181561
198	0.2814563279
199	0.2804732829
200	0.2797944778
201	0.2791259711
202	0.2783650389
203	0.2774913509
204	0.2765973915
205	0.2757266419
206	0.2750787901
207	0.2743987122
208	0.2733742754
209	0.2724861877
210	0.2716926907
211	0.2708950527
212	0.2701425779
213	0.2695397082
214	0.2689370435
215	0.2683357233
216	0.267736915
217	0.2672108891
218	0.2668209924
219	0.2659830198
220	0.2651654543
221	0.2645477032
222	0.2638870968
