iter	RMSE
0	624.4947865
1	602.1311768
2	580.218792
3	559.696513
4	540.9298265
5	523.4327633
6	508.4299966
7	493.4105875
8	479.9993683
9	467.4470782
10	456.0429109
11	444.4589801
12	433.7293552
13	423.4889679
14	414.3660059
15	405.904277
16	397.2623348
17	388.9717025
18	383.1661386
19	376.9601898
20	371.3258163
21	365.1216475
22	359.9768258
23	354.0898038
24	349.4264369
25	344.2796446
26	340.0691969
27	335.6207571
28	331.4229327
29	327.5754255
30	323.9158487
31	320.279411
32	316.9766693
33	313.8624216
34	311.2374102
35	308.2331648
36	305.4941015
37	303.0697226
38	300.7900006
39	298.1201141
40	295.2833341
41	293.4034585
42	291.7383838
43	289.2650155
44	287.7081624
45	285.8828356
46	283.5396058
47	281.4754562
48	280.2583737
49	278.7348708
50	276.8294728
51	274.9220168
52	273.3753564
53	271.6127269
54	270.2447762
55	269.1248196
56	267.9533376
57	266.7754203
58	265.6642827
59	264.5108314
60	263.3054612
61	262.4743505
62	261.3693918
63	260.1635513
64	259.4099447
65	258.4636281
66	257.6009435
67	256.9989934
68	256.156952
69	255.4628159
70	254.7497817
71	254.033091
72	253.2872413
73	252.5818128
74	252.0715979
75	251.306013
76	250.7804044
77	250.3090723
78	249.8630512
79	249.5862476
80	249.1626988
81	248.5141691
82	248.1646934
83	247.55522
84	246.9465552
85	246.2291653
86	245.8824559
87	245.4356416
88	244.7040288
89	244.2206019
90	243.6595913
91	243.4360143
92	242.9286194
93	242.2277313
94	241.6751556
95	241.2100401
96	240.5831751
97	240.2979438
98	239.7299401
99	239.2859108
100	238.7830777
101	238.5020113
102	238.2315853
103	237.8367363
104	237.4370672
105	237.2086174
106	236.8120431
107	236.3435953
108	235.9020104
109	235.4433699
110	235.0981728
111	234.8661568
112	234.4656268
113	234.2579651
114	233.8309211
115	233.3867048
116	232.9418272
117	232.5890617
118	232.1174509
119	231.7486367
120	231.5585941
121	231.4189978
122	231.1070886
123	230.8119574
124	230.7228608
125	230.3750695
126	230.2036852
127	230.0529526
128	229.6512111
129	229.4994298
130	229.1466462
131	228.9461368
132	228.5404783
133	228.3901777
134	228.0075792
135	227.5895968
136	227.3368451
137	227.1341045
138	226.7794243
139	226.4150302
140	226.1833142
141	226.0590972
142	225.6245807
143	225.3642369
144	225.1737727
145	224.8314743
146	224.4716256
147	224.2578932
148	224.1396685
149	223.9134728
150	223.6222071
151	223.5000494
152	223.1971515
153	222.9668519
154	222.7584933
155	222.5063556
156	222.2163775
157	221.9560918
158	221.6241225
159	221.4684161
160	221.2291857
161	221.0791802
162	220.7946539
163	220.5876474
164	220.3878153
165	220.1559024
166	219.9459607
167	219.7291543
168	219.5558855
169	219.2668585
170	219.1279482
171	218.9529631
172	218.6744559
173	218.5780325
174	218.3250009
