iter	Passed	Remaining
0	144	143961
1	149	74595
2	158	52577
3	165	41174
4	171	34165
5	176	29280
6	181	25766
7	185	22954
8	187	20684
9	190	18836
10	192	17309
11	194	16035
12	198	15033
13	199	14076
14	201	13240
15	203	12526
16	205	11879
17	207	11303
18	209	10798
19	211	10347
20	213	9966
21	215	9588
22	217	9235
23	219	8909
24	220	8604
25	222	8328
26	224	8073
27	225	7838
28	227	7621
29	229	7433
30	231	7241
31	233	7053
32	234	6877
33	236	6717
34	237	6561
35	239	6416
36	241	6279
37	242	6150
38	245	6042
39	247	5929
40	248	5820
41	250	5712
42	252	5608
43	253	5509
44	255	5414
45	256	5327
46	258	5240
47	260	5168
48	262	5096
49	264	5025
50	266	4951
51	267	4879
52	269	4811
53	270	4746
54	272	4685
55	274	4624
56	276	4568
57	278	4529
58	280	4480
59	282	4430
60	284	4384
61	286	4341
62	288	4293
63	290	4247
64	292	4209
65	295	4175
66	296	4132
67	298	4090
68	300	4049
69	301	4010
70	303	3971
71	305	3933
72	306	3897
73	309	3870
74	311	3838
75	312	3805
76	314	3770
77	316	3738
78	318	3707
79	319	3674
80	321	3644
81	322	3613
82	325	3591
83	326	3564
84	328	3537
85	330	3510
86	332	3485
87	333	3459
88	335	3433
89	337	3408
90	338	3383
91	341	3366
92	343	3345
93	344	3322
94	346	3305
95	348	3283
96	350	3261
97	352	3240
98	353	3219
99	355	3200
100	358	3187
101	360	3173
102	362	3155
103	363	3135
104	365	3116
105	367	3097
106	368	3078
107	370	3060
108	373	3050
109	375	3041
110	377	3025
111	379	3009
112	381	2991
113	382	2974
114	384	2958
115	386	2943
116	388	2933
117	391	2923
118	393	2909
119	395	2896
120	396	2882
121	398	2867
122	400	2853
123	401	2838
124	403	2825
125	406	2816
126	408	2805
127	409	2792
128	411	2779
129	413	2768
130	415	2755
131	417	2744
132	419	2733
133	421	2726
134	423	2715
135	425	2704
136	427	2693
137	429	2682
138	431	2671
139	432	2659
140	434	2648
141	437	2640
142	439	2633
143	441	2624
144	443	2613
145	445	2603
146	446	2593
147	448	2583
148	450	2573
149	453	2567
150	455	2562
151	457	2553
152	459	2543
153	461	2534
154	463	2525
155	465	2516
156	467	2508
157	470	2504
158	472	2498
159	474	2490
160	476	2481
161	478	2473
162	480	2465
163	481	2456
164	484	2449
165	486	2444
166	488	2436
167	490	2428
168	492	2419
169	494	2412
170	495	2403
171	497	2395
172	500	2390
173	502	2386
174	504	2378
175	506	2371
176	508	2364
177	510	2357
178	512	2350
179	514	2343
180	517	2340
181	519	2334
182	521	2327
183	523	2320
184	525	2314
185	527	2307
186	529	2301
187	531	2296
188	534	2291
189	535	2284
190	537	2278
191	539	2272
192	541	2265
193	543	2258
194	545	2253
195	548	2248
196	550	2243
197	552	2237
198	554	2231
199	556	2226
200	558	2219
201	560	2213
202	562	2207
203	564	2203
204	567	2199
205	569	2194
206	571	2189
207	573	2184
208	575	2179
209	577	2174
210	580	2171
211	583	2168
212	586	2166
213	589	2164
214	591	2160
215	593	2155
216	596	2152
217	598	2147
218	601	2143
219	603	2138
220	605	2132
221	607	2127
222	609	2122
223	611	2119
224	614	2117
225	616	2112
226	618	2107
227	620	2101
228	622	2096
229	624	2092
230	627	2087
231	629	2085
232	632	2080
233	633	2075
234	636	2070
235	637	2065
236	640	2061
237	642	2056
238	644	2052
239	647	2049
240	649	2045
241	652	2042
242	654	2038
243	656	2033
244	658	2028
245	661	2026
246	663	2022
247	665	2018
248	667	2013
249	669	2009
250	671	2004
251	673	1999
252	676	1995
253	678	1993
254	680	1988
255	682	1984
256	685	1980
257	687	1976
258	688	1971
259	691	1966
260	694	1965
261	696	1961
262	698	1957
263	700	1953
264	702	1948
265	704	1944
266	706	1940
267	709	1938
268	711	1934
269	713	1930
270	716	1926
271	718	1921
272	719	1917
273	721	1912
274	724	1910
275	726	1906
276	728	1902
277	730	1898
278	732	1893
279	734	1889
280	736	1884
281	738	1880
282	741	1877
283	743	1874
284	745	1869
285	747	1865
286	749	1861
287	751	1857
288	753	1853
289	755	1850
290	758	1847
291	760	1843
292	762	1839
293	764	1836
294	766	1831
295	768	1827
296	770	1823
297	773	1822
298	776	1820
299	778	1817
300	780	1813
301	783	1809
302	785	1806
303	787	1803
304	790	1802
305	792	1798
306	794	1794
307	796	1790
308	798	1785
309	800	1781
310	802	1777
311	804	1774
312	807	1771
313	809	1767
314	810	1763
315	812	1759
316	814	1755
317	816	1751
318	818	1747
319	821	1745
320	823	1742
321	826	1739
322	827	1735
323	829	1731
324	832	1728
325	834	1725
326	837	1722
327	839	1719
328	841	1716
329	843	1712
330	845	1708
331	847	1705
332	849	1701
333	866	1727
334	868	1724
335	871	1721
336	872	1717
337	874	1713
338	876	1709
339	878	1705
340	880	1701
341	882	1697
342	885	1696
343	888	1693
344	890	1690
345	892	1686
346	894	1682
347	896	1679
348	898	1675
349	900	1673
350	903	1669
351	905	1666
352	907	1662
353	909	1659
354	911	1655
355	913	1652
356	915	1648
357	918	1646
358	920	1642
359	922	1639
360	924	1635
361	926	1632
362	928	1628
363	930	1625
364	933	1624
365	936	1621
366	938	1618
367	940	1615
368	942	1612
369	944	1608
370	946	1605
371	950	1603
372	952	1601
373	955	1599
374	957	1596
375	960	1593
376	962	1590
377	965	1588
378	967	1585
379	969	1581
380	971	1578
381	973	1575
382	975	1571
383	977	1568
384	980	1566
385	982	1563
386	984	1560
387	986	1556
388	989	1553
389	991	1550
390	993	1547
391	995	1544
392	998	1542
393	1001	1540
394	1003	1536
395	1005	1533
396	1007	1530
397	1009	1527
398	1012	1524
399	1014	1522
400	1017	1519
401	1019	1516
402	1021	1513
403	1023	1509
404	1025	1506
405	1027	1502
406	1030	1500
407	1032	1497
408	1034	1494
409	1036	1491
410	1038	1488
411	1040	1485
412	1042	1482
413	1045	1479
414	1047	1476
415	1049	1473
416	1051	1470
417	1053	1467
418	1055	1464
419	1057	1460
420	1059	1457
421	1062	1455
422	1064	1452
423	1066	1449
424	1068	1445
425	1070	1443
426	1073	1440
427	1075	1436
428	1078	1435
429	1080	1432
430	1082	1429
431	1084	1426
432	1087	1423
433	1089	1420
434	1091	1417
435	1094	1415
436	1096	1412
437	1098	1409
438	1100	1406
439	1103	1403
440	1105	1400
441	1107	1397
442	1110	1395
443	1112	1393
444	1114	1390
445	1117	1387
446	1119	1384
447	1121	1381
448	1123	1378
449	1126	1376
450	1128	1373
451	1130	1370
452	1132	1367
453	1134	1364
454	1136	1361
455	1138	1358
456	1141	1356
457	1144	1354
458	1146	1351
459	1148	1348
460	1150	1345
461	1152	1342
462	1154	1339
463	1157	1337
464	1159	1334
465	1161	1331
466	1164	1328
467	1166	1325
468	1168	1322
469	1170	1320
470	1173	1317
471	1175	1315
472	1177	1312
473	1180	1309
474	1182	1306
475	1184	1303
476	1186	1300
477	1188	1297
478	1191	1295
479	1193	1293
480	1195	1290
481	1198	1287
482	1200	1284
483	1201	1281
484	1203	1278
485	1206	1276
486	1209	1273
487	1211	1270
488	1213	1267
489	1215	1264
490	1217	1261
491	1219	1258
492	1222	1256
493	1224	1254
494	1226	1251
495	1228	1248
496	1230	1245
497	1233	1243
498	1235	1240
499	1237	1237
500	1240	1235
501	1242	1232
502	1244	1230
503	1247	1227
504	1249	1224
505	1251	1221
506	1254	1219
507	1256	1217
508	1258	1214
509	1260	1211
510	1263	1208
511	1265	1205
512	1267	1202
513	1269	1200
514	1272	1198
515	1274	1195
516	1276	1192
517	1278	1190
518	1281	1187
519	1283	1184
520	1285	1182
521	1288	1179
522	1290	1176
523	1292	1173
524	1294	1171
525	1296	1168
526	1298	1165
527	1300	1162
528	1303	1160
529	1306	1158
530	1308	1155
531	1310	1152
532	1312	1150
533	1314	1147
534	1317	1145
535	1319	1142
536	1321	1139
537	1323	1136
538	1326	1134
539	1328	1131
540	1330	1128
541	1332	1125
542	1335	1123
543	1339	1122
544	1341	1120
545	1345	1118
546	1348	1116
547	1351	1114
548	1353	1111
549	1355	1109
550	1357	1106
551	1359	1103
552	1361	1100
553	1363	1097
554	1365	1095
555	1368	1092
556	1370	1090
557	1372	1087
558	1374	1084
559	1376	1081
560	1378	1079
561	1381	1076
562	1384	1074
563	1386	1071
564	1388	1069
565	1390	1066
566	1392	1063
567	1395	1061
568	1397	1058
569	1400	1056
570	1403	1054
571	1405	1051
572	1407	1049
573	1409	1046
574	1411	1043
575	1414	1041
576	1417	1039
577	1419	1036
578	1421	1033
579	1423	1030
580	1425	1028
581	1428	1025
582	1431	1023
583	1433	1021
584	1435	1018
585	1437	1015
586	1439	1013
587	1441	1010
588	1443	1007
589	1446	1005
590	1449	1003
591	1451	1000
592	1453	997
593	1456	995
594	1458	992
595	1460	989
596	1463	987
597	1465	985
598	1467	982
599	1469	979
600	1471	977
601	1473	974
602	1475	971
603	1477	968
604	1480	966
605	1482	963
606	1484	961
607	1486	958
608	1488	955
609	1490	952
610	1492	950
611	1495	948
612	1497	945
613	1500	943
614	1502	940
615	1504	937
616	1506	935
617	1508	932
618	1511	930
619	1514	928
620	1516	925
621	1518	922
622	1520	920
623	1522	917
624	1524	914
625	1527	912
626	1530	910
627	1532	908
628	1534	905
629	1537	902
630	1539	900
631	1542	898
632	1545	895
633	1547	893
634	1549	890
635	1551	887
636	1553	885
637	1555	882
638	1558	880
639	1561	878
640	1563	875
641	1565	872
642	1567	870
643	1569	867
644	1571	864
645	1573	862
646	1576	859
647	1578	857
648	1580	854
649	1582	851
650	1584	849
651	1586	846
652	1588	844
653	1591	842
654	1593	839
655	1596	836
656	1598	834
657	1600	831
658	1602	829
659	1604	826
660	1607	824
661	1610	822
662	1612	819
663	1614	816
664	1616	814
665	1618	811
666	1620	808
667	1623	806
668	1625	804
669	1627	801
670	1629	799
671	1631	796
672	1634	793
673	1636	791
674	1639	789
675	1641	786
676	1643	784
677	1645	781
678	1647	778
679	1649	776
680	1651	773
681	1654	771
682	1656	768
683	1658	766
684	1660	763
685	1662	761
686	1664	758
687	1666	755
688	1669	753
689	1672	751
690	1674	748
691	1676	746
692	1679	743
693	1681	741
694	1683	738
695	1686	736
696	1688	734
697	1691	731
698	1693	729
699	1695	726
700	1697	724
701	1699	721
702	1702	719
703	1705	716
704	1707	714
705	1709	711
706	1711	709
707	1713	706
708	1715	704
709	1718	701
710	1720	699
711	1723	697
712	1725	694
713	1727	691
714	1729	689
715	1731	686
716	1734	684
717	1736	682
718	1739	679
719	1741	677
720	1743	674
721	1745	672
722	1748	669
723	1751	667
724	1753	665
725	1756	662
726	1758	660
727	1760	657
728	1762	655
729	1764	652
730	1767	650
731	1770	648
732	1772	645
733	1774	642
734	1776	640
735	1778	637
736	1780	635
737	1783	633
738	1785	630
739	1787	628
740	1789	625
741	1791	623
742	1793	620
743	1796	618
744	1798	615
745	1801	613
746	1804	611
747	1806	608
748	1808	606
749	1810	603
750	1813	601
751	1816	598
752	1819	596
753	1821	594
754	1823	591
755	1825	589
756	1827	586
757	1829	584
758	1832	581
759	1834	579
760	1836	576
761	1839	574
762	1841	571
763	1843	569
764	1845	567
765	1848	564
766	1850	562
767	1852	559
768	1855	557
769	1857	554
770	1859	552
771	1861	549
772	1864	547
773	1866	545
774	1868	542
775	1870	540
776	1872	537
777	1875	535
778	1877	532
779	1880	530
780	1882	527
781	1884	525
782	1886	522
783	1889	520
784	1891	517
785	1893	515
786	1896	513
787	1898	510
788	1900	508
789	1902	505
790	1904	503
791	1906	500
792	1908	498
793	1911	495
794	1913	493
795	1915	490
796	1917	488
797	1919	485
798	1921	483
799	1923	480
800	1926	478
801	1928	476
802	1930	473
803	1932	471
804	1935	468
805	1937	466
806	1939	463
807	1942	461
808	1944	459
809	1946	456
810	1948	454
811	1950	451
812	1952	449
813	1954	446
814	1957	444
815	1959	441
816	1961	439
